play_type,wp,wpa,off_score,def_score,down,yards_to_go,yardline,yardline_text,quarter,seconds_left,week,home_team,away_team,offense_team,defense_team,offense_team_abbrev,defense_team_abbrev,offense_won,season_year,play_result,description,player_ids_string
Pass,95.713542197,1.56045539777,21,3,1,10,-35,Own 15,Q3,765,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,First Down,(12:45) (Shotgun) M.Ryan pass short middle to T.Gabriel to ATL 32 for 17 yards (E.Rowe).,"00-0026143,00-0031555,00-0031228"
Pass,98.025518483,0.0754792679856,21,3,2,10,22,Opp 28,Q3,626,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,First Down,(10:26) (Shotgun) M.Ryan pass short middle to M.Sanu to NE 15 for 13 yards (E.Rowe) [T.Flowers].,"00-0026143,00-0031555,00-0029632,00-0031566"
Pass,86.1160611128,1.47394356889,7,0,1,10,12,Opp 38,Q2,611,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,First Down,(10:11) M.Ryan pass deep left to J.Jones pushed ob at NE 20 for 18 yards (E.Rowe) [S.McClellin].,"00-0026143,00-0031555,00-0029250,00-0027944"
Pass,82.9350735533,3.95227879078,28,20,1,10,-40,Own 10,Q4,353,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,First Down,(5:53) M.Ryan pass short left to D.Freeman to ATL 49 for 39 yards (E.Roberts).,"00-0026143,00-0031285,00-0032442"
Pass,95.713542197,0,21,3,2,13,-34,Own 16,Q3,851,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,,(14:11) (Shotgun) M.Ryan pass short middle to D.Freeman to ATL 23 for 7 yards (L.Ryan).,"00-0026143,00-0031285,00-0030411"
Pass,82.9350735533,3.18098755942,7,0,1,10,-12,Own 38,Q2,637,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,First Down,(10:37) M.Ryan pass deep right to T.Gabriel to NE 38 for 24 yards (D.McCourty).,"00-0026143,00-0031228,00-0027647"
Pass,82.9350735533,-4.05483362327,28,20,3,33,5,Opp 45,Q4,224,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,,(3:44) (Shotgun) M.Ryan pass incomplete short left to T.Gabriel.,"00-0026143,00-0031228"
Pass,98.100997751,-1.1102230246299998e-14,28,9,1,10,9,Opp 41,Q3,125,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,,(2:05) (Shotgun) M.Ryan pass short left to A.Hooper to NE 32 for 9 yards (D.Harmon).,"00-0026143,00-0030383,00-0032392"
Pass,97.2739975948,0.827000156219,21,3,2,5,-13,Own 37,Q3,696,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,First Down,(11:36) M.Ryan pass deep middle to T.Gabriel to NE 28 for 35 yards (D.Harmon).,"00-0026143,00-0030383,00-0031228"
Pass,55.4227283661,3.70510187376,28,28,1,10,-39,Own 11,Q4,52,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,First Down,(:52) (Shotgun) M.Ryan pass short left to M.Sanu to ATL 23 for 12 yards (L.Ryan).,"00-0026143,00-0029632,00-0030411"
Pass,60.6523094614,-1.52447922159,0,0,2,7,-2,Own 48,Q1,736,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,,(12:16) M.Ryan pass short right to P.DiMarco to 50 for 2 yards (P.Chung).,"00-0026143,00-0028581,00-0027010"
Pass,58.3003967125,2.87251626535,0,0,1,10,-21,Own 29,Q2,848,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,First Down,(14:08) (Shotgun) M.Ryan pass short middle to J.Jones to ATL 48 for 19 yards (L.Ryan).,"00-0026143,00-0027944,00-0030411"
Pass,61.1729129779,5.12226930426,0,0,1,10,-2,Own 48,Q2,809,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,First Down,(13:29) M.Ryan pass deep left to J.Jones ran ob at NE 29 for 23 yards.,"00-0026143,00-0027944"
Pass,86.8873523441,4.0176571460399995,28,20,2,8,1,Opp 49,Q4,287,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,First Down,(4:47) (Shotgun) M.Ryan pass deep right to J.Jones to NE 22 for 27 yards.,"00-0026143,00-0027944"
Pass,95.713542197,-0.042543333124499996,21,3,3,6,-27,Own 23,Q3,804,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,,(13:24) (Shotgun) M.Ryan pass incomplete short left to T.Gabriel (E.Rowe) [C.Long].,"00-0026143,00-0026142,00-0031555,00-0031228"
Pass,95.6709988639,-3.82017532389,28,12,3,1,-14,Own 36,Q4,511,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,Fumble,"(8:31) (Shotgun) M.Ryan sacked at ATL 25 for -11 yards (D.Hightower). FUMBLES (D.Hightower) [D.Hightower], RECOVERED by NE-A.Branch at ATL 25. A.Branch to ATL 25 for no gain (C.Chester).","00-0026143,00-0025420,00-0029669,00-0024271"
Pass,57.1844351949,-5.09157030891,0,0,3,3,-12,Own 38,Q1,147,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,Sack,(2:27) (Shotgun) M.Ryan sacked at ATL 36 for -2 yards (sack split by J.Sheard and A.Branch).,"00-0026143,00-0025420,00-0027975"
Pass,58.3003967125,-2.64865164621,28,28,2,6,-23,Own 27,Q4,19,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,,(:19) M.Ryan spiked the ball to stop the clock.,00-0026143
Pass,0.574712643678,1.4172155733,3,28,4,3,-4,Own 46,Q3,364,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,First Down,(6:04) (Shotgun) T.Brady pass short left to D.Amendola pushed ob at ATL 37 for 17 yards (D.Campbell).,"00-0026035,00-0032401,00-0019596"
Pass,10.0199100093,-7.574958362219999,0,14,3,6,27,Opp 23,Q2,156,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,Interception,"(2:36) (Shotgun) T.Brady pass short left intended for D.Amendola INTERCEPTED by R.Alford at ATL 18. R.Alford for 82 yards, TOUCHDOWN.","00-0026035,00-0030528,00-0019596"
Pass,42.9397772623,4.96263354252,0,0,2,8,-38,Own 12,Q1,596,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,First Down,(9:56) (Shotgun) T.Brady pass short left to D.Amendola to NE 25 for 13 yards (B.Poole).,"00-0026035,00-0019596,00-0032596"
Pass,26.317054677399998,4.92125650628,20,28,1,10,9,Opp 41,Q4,123,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,First Down,(2:03) (Shotgun) T.Brady pass deep right to D.Amendola to ATL 21 for 20 yards (B.Poole).,"00-0026035,00-0019596,00-0032596"
Pass,1.99192821697,-3.46944695195e-16,3,28,1,10,13,Opp 37,Q3,335,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(5:35) (Shotgun) T.Brady pass short left to D.Amendola to ATL 35 for 2 yards (J.Collins).,"00-0026035,00-0019596,00-0031552"
Pass,48.423920802800005,4.51973578893,28,28,2,4,-19,Own 31,OT,866,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,First Down,(14:26) (Shotgun) T.Brady pass short right to D.Amendola ran ob at NE 45 for 14 yards.,"00-0026035,00-0019596"
Pass,9.72592864731,7.393919993710001,12,28,2,2,44,Opp 6,Q4,360,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,Touchdown,"(6:00) (Shotgun) T.Brady pass short left to D.Amendola for 6 yards, TOUCHDOWN.","00-0026035,00-0019596"
Rush,87.59000468159999,-0.70265233753,7,0,1,10,30,Opp 20,Q2,585,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,,(9:45) T.Coleman right tackle to NE 19 for 1 yard (A.Branch).,"00-0025420,00-0032058"
Rush,59.127830239800005,-1.9433950449500002,0,0,1,10,-19,Own 31,Q1,225,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,,(3:45) D.Freeman right tackle to ATL 33 for 2 yards (A.Branch; R.Ninkovich).,"00-0025420,00-0024349,00-0031285"
Kickoff,15.354019552299999,1.7109068944,20,28,0,0,-15,Own 35,Q4,356,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,S.Gostkowski kicks 62 yards from NE 35 to ATL 3. J.Hardy pushed ob at ATL 10 for 7 yards (J.Jones).,"00-0024333,00-0032580,00-0031570"
Kickoff,4.5162857188,-0.187284582704,12,28,0,0,-15,Own 35,Q4,584,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,S.Gostkowski kicks 48 yards from NE 35 to ATL 17. J.Hardy pushed ob at ATL 27 for 10 yards (B.Mingo).,"00-0024333,00-0031570,00-0030558"
Kickoff,3.6690085560499996,0.617449246922,3,21,0,0,-15,Own 35,Q3,900,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,S.Gostkowski kicks 60 yards from NE 35 to ATL 5. E.Weems to ATL 19 for 14 yards (N.Ebner).,"00-0024333,00-0029570,00-0024535"
Kickoff,42.9397772623,1.6374943716500001,28,28,0,0,-10,Own 40,Q4,57,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,S.Gostkowski kicks 60 yards from NE 40 to ATL 0. E.Weems to ATL 11 for 11 yards (B.Bolden).,"00-0024333,00-0029239,00-0024535"
Kickoff,3.6690085560499996,0,3,21,0,0,-15,Own 35,Q2,2,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,S.Gostkowski kicks 38 yards from NE 35 to ATL 27. P.DiMarco (didn't try to advance) to ATL 27 for no gain.,"00-0024333,00-0028581"
Kickoff,3.1687296660600004,-1.2697274170700001,9,28,0,0,-15,Own 35,Q3,126,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,"S.Gostkowski kicks onside 11 yards from NE 35 to NE 46. L.Reynolds (didn't try to advance) to NE 46 for no gain (P.Chung). PENALTY on NE-S.Gostkowski, Illegal Touch Kick, 5 yards, enforced at NE 46.","00-0024333,00-0027010"
Field Goal,3.6690085560499996,0,0,21,3,18,27,Opp 23,Q2,5,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,"(:05) S.Gostkowski 41 yard field goal is GOOD, Center-J.Cardona, Holder-R.Allen.",00-0024333
Field Goal,4.33249025533,0.18379546346700001,9,28,4,15,35,Opp 15,Q4,588,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,"(9:48) S.Gostkowski 33 yard field goal is GOOD, Center-J.Cardona, Holder-R.Allen.",00-0024333
Extra Point,4.296575298860001,-1.1278456328,9,28,0,0,35,Opp 15,Q3,126,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,"S.Gostkowski extra point is No Good, Hit Right Upright, Center-J.Cardona, Holder-R.Allen.",00-0024333
Extra Point,99.0566777228,0,27,3,0,0,35,Opp 15,Q3,511,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,,"M.Bryant extra point is GOOD, Center-J.Harris, Holder-M.Bosher.",00-0020578
Extra Point,78.8802399301,-4.38578141252,6,0,0,0,35,Opp 15,Q2,735,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,,"M.Bryant extra point is GOOD, Center-J.Harris, Holder-M.Bosher.",00-0020578
Extra Point,93.59437848820001,-0.6504532545930001,13,0,0,0,40,Opp 10,Q2,528,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,,"M.Bryant extra point is GOOD, Center-J.Harris, Holder-M.Bosher.",00-0020578
Pass,48.1836130394,0.240307763426,0,0,2,8,-8,Own 42,Q1,476,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(7:56) (Shotgun) T.Brady pass short right to M.Mitchell to NE 49 for 7 yards (D.Jones).,"00-0019596,00-0032400,00-0032388"
Pass,4.296575298860001,0.0359149564768,0,21,3,2,29,Opp 21,Q2,30,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,First Down,(:30) (Shotgun) T.Brady pass short middle to J.White to ATL 15 for 6 yards (D.Jones).,"00-0019596,00-0032388,00-0031062"
Pass,48.1836130394,0.240307763426,28,28,1,10,-25,Own 25,OT,900,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(15:00) (Shotgun) T.Brady pass short left to J.White pushed ob at NE 31 for 6 yards (D.Jones).,"00-0019596,00-0032388,00-0031062"
Pass,55.587550511799996,-2.64389392004,28,28,1,10,13,Opp 37,OT,792,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(13:12) (Shotgun) T.Brady pass short left to J.White to ATL 40 for -3 yards (D.Jones).,"00-0019596,00-0032388,00-0031062"
Pass,33.5044949153,0.681928042965,20,28,1,8,42,Opp 8,Q4,85,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(1:25) (Shotgun) T.Brady pass short right to J.White to ATL 1 for 7 yards (D.Jones).,"00-0019596,00-0032388,00-0031062"
Pass,0.8415513688549999,0,3,28,1,10,-25,Own 25,Q3,511,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(8:31) (Shotgun) T.Brady pass short middle to D.Lewis to NE 27 for 2 yards (K.Neal).,"00-0019596,00-0032382,00-0028087"
Pass,2.82302664656,1.4735486523,3,28,2,5,45,Opp 5,Q3,132,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,Touchdown,"(2:12) (Shotgun) T.Brady pass short left to J.White for 5 yards, TOUCHDOWN.","00-0019596,00-0031062"
Pass,4.33249025533,-0.0359149564768,0,21,1,10,35,Opp 15,Q2,23,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(:23) (Shotgun) T.Brady pass incomplete short left to J.Edelman (R.Alford).,"00-0019596,00-0030528,00-0027150"
Pass,21.3433196344,-1.7565920202199998,20,28,1,10,-25,Own 25,Q4,158,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(2:38) (Shotgun) T.Brady pass incomplete short middle to J.Edelman (R.Alford).,"00-0019596,00-0030528,00-0027150"
Pass,9.49213043719,-1.72298683597,0,14,2,9,5,Opp 45,Q2,320,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(5:20) (Shotgun) T.Brady pass incomplete short right to D.Lewis.,"00-0019596,00-0028087"
Pass,1.99192821697,-0.491946896691,3,28,2,8,15,Opp 35,Q3,294,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(4:54) (Shotgun) T.Brady pass incomplete short left to J.Edelman.,"00-0019596,00-0027150"
Pass,47.9024108048,-3.5550231472400005,0,0,1,10,-25,Own 25,Q1,900,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(15:00) (Shotgun) T.Brady pass incomplete short middle to J.Edelman.,"00-0019596,00-0027150"
Pass,3.6690085560499996,0,0,21,1,10,-7,Own 43,Q2,103,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(1:43) (Shotgun) T.Brady pass incomplete deep right to J.Edelman.,"00-0019596,00-0027150"
Pass,7.76914360122,0,0,14,1,10,-13,Own 37,Q2,492,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(8:12) (Shotgun) T.Brady pass incomplete short middle to J.Edelman.,"00-0019596,00-0027150"
Pass,4.33249025533,-0.0359149564768,9,28,1,10,-9,Own 41,Q4,801,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(13:21) (Shotgun) T.Brady pass incomplete deep left to J.Edelman.,"00-0019596,00-0027150"
Pass,4.33249025533,-0.0359149564768,3,21,3,12,-5,Own 45,Q3,777,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(12:57) (Shotgun) T.Brady pass incomplete short middle to J.Edelman.,"00-0019596,00-0027150"
Pass,44.3473876576,2.89576980431,0,0,2,10,-25,Own 25,Q1,895,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(14:55) (Shotgun) T.Brady pass short right to J.Edelman to NE 34 for 9 yards (P.Wheeler).,"00-0019596,00-0026233,00-0027150"
Pass,4.5162857188,-0.18379546346700001,3,21,2,10,-3,Own 47,Q3,782,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,"(13:02) (Shotgun) T.Brady pass short right to D.Amendola to NE 45 for -2 yards (B.Poole). Penalty on NE-C.Hogan, Offensive Pass Interference, declined.","00-0019596,00-0026035,00-0032596"
Pass,44.3473876576,-1.40761039528,26,28,0,0,48,Opp 2,Q4,57,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,"TWO-POINT CONVERSION ATTEMPT. T.Brady pass to D.Amendola is complete. ATTEMPT SUCCEEDS. PENALTY on ATL-D.Freeney, Defensive Offside, 5 yards, enforced between downs.","00-0019596,00-0026035,00-0021146"
Pass,7.76914360122,-0.778013815978,0,14,2,10,-13,Own 37,Q2,487,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(8:07) (Shotgun) T.Brady pass incomplete deep middle to D.Amendola.,"00-0019596,00-0026035"
Pass,5.12138573609,-0.32903427512399996,9,28,2,1,18,Opp 32,Q4,744,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(12:24) (Shotgun) T.Brady pass incomplete short middle to D.Amendola.,"00-0019596,00-0026035"
Pass,8.14917645998,-1.60642898388,12,28,1,10,25,Opp 25,Q4,504,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,Sack,(8:24) T.Brady sacked at ATL 30 for -5 yards (D.Freeney).,"00-0019596,00-0021146"